Ano 1ยบ Sintoma(s),Em branco/IGN,<1 Ano,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,80 e +,Total
2014,54,2099,4098,8340,15798,21808,88100,63021,9526,6552,6754,1992,228142
2015,189,6111,13403,27901,50048,69403,277468,209460,34554,24588,27550,8848,749523
2016,16381,1620,3777,6766,10763,16344,71023,51574,8164,5629,6005,2072,200118
2017,3,209,460,524,638,888,3675,2190,319,200,223,79,9408
2018,10,213,418,798,1086,1505,7506,5691,942,625,664,223,19681
2019,82,3255,8407,18681,28960,34836,161486,128171,22236,15922,16122,5421,443579
2020,36,1465,4161,8411,12031,14334,73914,61756,10196,7428,7881,2824,204437
2021,46,1434,4282,8363,10200,10782,55260,46614,7707,5582,5718,1888,157876
2022,89,2322,7343,16459,22251,24845,121117,102665,18247,13727,15642,5690,350397
2023,47,2036,7044,18084,24024,24787,113245,96299,17231,13114,15144,5747,336802
Total,16937,20764,53393,114327,175799,219532,972794,767441,129122,93367,101703,34784,2699963